UID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp,later_date,Error,Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure,rpm_null
L50961,302.3,310.8,1465.0,43.8,7,0,No Failure,2002-05-07 13:00:00,False,0,0,1,0,0,0,0,False
L50962,302.2,310.8,1827.0,23.8,9,0,No Failure,2002-05-07 14:00:00,False,0,0,1,0,0,0,0,False
H33197,302.2,310.8,1397.0,47.6,11,0,No Failure,2002-05-07 15:00:00,False,0,0,1,0,0,0,0,False
L50964,302.2,310.8,1744.0,29.7,16,0,No Failure,2002-05-07 16:00:00,False,0,0,1,0,0,0,0,False
L50965,302.3,310.9,1545.0,36.7,18,0,No Failure,2002-05-07 17:00:00,False,0,0,1,0,0,0,0,False
L50966,302.3,310.9,1587.0,36.6,20,0,No Failure,2002-05-07 18:00:00,False,0,0,1,0,0,0,0,False
L50967,302.3,310.8,1377.0,47.3,22,1,Heat Dissipation Failure,2002-05-07 19:00:00,False,0,1,0,0,0,0,0,False
L50968,302.3,310.8,1511.0,48.1,24,0,No Failure,2002-05-07 20:00:00,False,0,0,1,0,0,0,0,False
L50969,302.3,310.8,1650.0,32.4,26,0,No Failure,2002-05-07 21:00:00,False,0,0,1,0,0,0,0,False
L50970,302.3,310.9,1412.0,48.9,28,0,No Failure,2002-05-07 22:00:00,False,0,0,1,0,0,0,0,False
L50971,302.3,311.0,1528.0,43.1,30,0,No Failure,2002-05-07 23:00:00,False,0,0,1,0,0,0,0,False
L50972,286.3,310.9,1459.0,35.0,32,0,No Failure,2002-05-08 00:00:00,False,0,0,1,0,0,0,0,False
L50973,302.3,310.9,1379.0,49.3,34,1,Heat Dissipation Failure,2002-05-08 01:00:00,False,0,1,0,0,0,0,0,False
M18654,302.2,310.8,1356.0,48.3,36,0,Error,2002-05-08 02:00:00,False,1,0,0,0,0,0,0,False
M18655,302.1,310.8,1409.0,41.3,39,0,No Failure,2002-05-08 03:00:00,False,0,0,1,0,0,0,0,False
M18656,302.1,310.8,1504.0,37.5,42,0,No Failure,2002-05-08 04:00:00,False,0,0,1,0,0,0,0,False
L50977,302.1,310.8,1622.0,36.8,45,0,No Failure,2002-05-08 05:00:00,False,0,0,1,0,0,0,0,False
L50978,302.1,310.8,1786.0,25.7,47,0,No Failure,2002-05-08 06:00:00,False,0,0,1,0,0,0,0,False
L50979,302.2,310.9,1506.0,34.0,49,0,No Failure,2002-05-08 07:00:00,False,0,0,1,0,0,0,0,False
M18660,302.1,310.9,1916.0,23.1,51,0,No Failure,2002-05-08 08:00:00,False,0,0,1,0,0,0,0,False
M18661,302.2,310.9,1771.0,27.6,54,0,No Failure,2002-05-08 09:00:00,False,0,0,1,0,0,0,0,False
M18662,302.2,310.9,1488.0,44.2,57,0,No Failure,2002-05-08 10:00:00,False,0,0,1,0,0,0,0,False
L50983,302.2,310.9,1531.0,37.5,60,0,No Failure,2002-05-08 11:00:00,False,0,0,1,0,0,0,0,False
L50984,302.3,310.9,1529.0,33.4,62,0,No Failure,2002-05-08 12:00:00,False,0,0,1,0,0,0,0,False
M18665,302.4,311.0,1580.0,36.5,64,0,No Failure,2002-05-08 13:00:00,False,0,0,1,0,0,0,0,False
M18666,302.3,310.9,1360.0,44.0,67,1,Heat Dissipation Failure,2002-05-08 14:00:00,False,0,1,0,0,0,0,0,False
M18667,302.3,311.0,1546.0,35.5,70,0,No Failure,2002-05-08 15:00:00,False,0,0,1,0,0,0,0,False
M18668,302.3,310.9,1762.0,24.5,73,0,No Failure,2002-05-08 16:00:00,False,0,0,1,0,0,0,0,False
L50989,302.2,310.8,,56.6,76,0,No Failure,2002-05-08 17:00:00,False,0,0,1,0,0,0,0,True
M18670,302.2,310.8,1562.0,38.1,78,0,No Failure,2002-05-08 18:00:00,False,0,0,1,0,0,0,0,False
M18671,302.1,310.7,1608.0,30.3,81,0,No Failure,2002-05-08 19:00:00,False,0,0,1,0,0,0,0,False
L50992,302.0,310.6,1392.0,50.0,84,0,No Failure,2002-05-08 20:00:00,False,0,0,1,0,0,0,0,False
L50993,302.0,310.6,1467.0,44.9,86,0,No Failure,2002-05-08 21:00:00,False,0,0,1,0,0,0,0,False
M18674,302.1,310.6,1326.0,59.1,88,1,Heat Dissipation Failure,2002-05-08 22:00:00,False,0,1,0,0,0,0,0,False
L50995,302.2,310.7,1769.0,24.9,91,0,No Failure,2002-05-08 23:00:00,False,0,0,1,0,0,0,0,False
L50996,286.1,310.6,1459.0,47.6,93,0,No Failure,2002-05-09 00:00:00,False,0,0,1,0,0,0,0,False
M18677,302.1,310.6,1421.0,52.0,95,0,No Failure,2002-05-09 01:00:00,False,0,0,1,0,0,0,0,False
L50998,302.1,310.7,1491.0,42.8,98,0,No Failure,2002-05-09 02:00:00,False,0,0,1,0,0,0,0,False
L50999,302.2,310.7,1567.0,36.4,100,0,No Failure,2002-05-09 03:00:00,False,0,0,1,0,0,0,0,False
L51000,302.3,310.8,1421.0,41.4,102,0,No Failure,2002-05-09 04:00:00,False,0,0,1,0,0,0,0,False
L51001,302.3,310.9,1596.0,33.5,104,0,No Failure,2002-05-09 05:00:00,False,0,0,1,0,0,0,0,False
M18682,302.4,311.0,1464.0,44.2,106,0,No Failure,2002-05-09 06:00:00,False,0,0,1,0,0,0,0,False
M18683,302.3,310.9,1581.0,36.1,109,0,No Failure,2002-05-09 07:00:00,False,0,0,1,0,0,0,0,False
L51004,302.3,310.9,1620.0,30.3,112,0,No Failure,2002-05-09 08:00:00,False,0,0,1,0,0,0,0,False
H33239,302.2,310.7,1413.0,128.7,114,0,No Failure,2002-05-09 09:00:00,False,0,0,1,0,0,0,0,False
H33240,302.3,310.8,1438.0,43.8,119,0,No Failure,2002-05-09 10:00:00,False,0,0,1,0,0,0,0,False
M18687,286.4,310.9,1469.0,41.6,124,0,No Failure,2002-05-09 11:00:00,False,0,0,1,0,0,0,0,False
M18688,302.3,310.8,1762.0,27.8,127,0,No Failure,2002-05-09 12:00:00,False,0,0,1,0,0,0,0,False
H33243,302.3,310.9,1366.0,48.4,130,1,Heat Dissipation Failure,2002-05-09 13:00:00,False,0,1,0,0,0,0,0,False
L51010,302.3,310.9,1891.0,22.7,135,0,No Failure,2002-05-09 14:00:00,False,0,0,1,0,0,0,0,False
M18691,302.3,310.9,1742.0,29.7,137,0,No Failure,2002-05-09 15:00:00,False,0,0,1,0,0,0,0,False
M18692,302.2,310.9,1465.0,43.5,140,0,No Failure,2002-05-09 16:00:00,False,0,0,1,0,0,0,0,False
M18693,286.3,311.0,1541.0,36.6,143,0,No Failure,2002-05-09 17:00:00,False,0,0,1,0,0,0,0,False
M18694,302.3,311.1,1295.0,57.1,146,0,No Failure,2002-05-09 18:00:00,False,0,0,1,0,0,0,0,False
M18695,302.3,311.1,1435.0,43.1,149,0,No Failure,2002-05-09 19:00:00,False,0,0,1,0,0,0,0,False
L51016,302.4,311.2,1466.0,43.9,152,0,No Failure,2002-05-09 20:00:00,False,0,0,1,0,0,0,0,False
L51017,302.4,311.2,1450.0,47.9,154,0,No Failure,2002-05-09 21:00:00,False,0,0,1,0,0,0,0,False
L51018,302.4,311.1,1880.0,24.5,156,0,No Failure,2002-05-09 22:00:00,False,0,0,1,0,0,0,0,False
M18699,302.3,311.0,1578.0,33.5,158,0,No Failure,2002-05-09 23:00:00,False,0,0,1,0,0,0,0,False
L51020,302.4,311.0,1610.0,33.1,161,0,No Failure,2002-05-10 00:00:00,False,0,0,1,0,0,0,0,False
L51021,302.4,311.1,1565.0,42.8,163,0,No Failure,2002-05-10 01:00:00,False,0,0,1,0,0,0,0,False
L51022,302.5,311.2,1545.0,40.1,165,0,No Failure,2002-05-10 02:00:00,False,0,0,1,0,0,0,0,False
L51023,302.5,311.2,1227.0,60.1,167,0,No Failure,2002-05-10 03:00:00,False,0,0,1,0,0,0,0,False
L51024,302.4,311.1,1484.0,45.9,169,0,No Failure,2002-05-10 04:00:00,False,0,0,1,0,0,0,0,False
L51025,302.3,311.0,1591.0,32.7,171,0,No Failure,2002-05-10 05:00:00,False,0,0,1,0,0,0,0,False
L51026,302.3,310.9,1403.0,47.2,173,0,No Failure,2002-05-10 06:00:00,False,0,0,1,0,0,0,0,False
M18707,302.3,311.0,1450.0,45.7,175,0,No Failure,2002-05-10 07:00:00,False,0,0,1,0,0,0,0,False
L51028,302.3,310.9,1720.0,28.1,178,0,No Failure,2002-05-10 08:00:00,False,0,0,1,0,0,0,0,False
L51029,302.3,311.0,1561.0,37.2,180,0,No Failure,2002-05-10 09:00:00,False,0,0,1,0,0,0,0,False
M18710,302.3,311.0,1421.0,41.3,182,0,No Failure,2002-05-10 10:00:00,False,0,0,1,0,0,0,0,False
H33265,302.2,310.9,1415.0,48.4,185,0,No Failure,2002-05-10 11:00:00,False,0,0,1,0,0,0,0,False
L51032,302.3,310.9,2034.0,19.7,190,0,No Failure,2002-05-10 12:00:00,False,0,0,1,0,0,0,0,False
L51033,302.4,311.0,1486.0,40.4,192,0,No Failure,2002-05-10 13:00:00,False,0,0,1,0,0,0,0,False
L51034,302.4,311.0,1338.0,67.6,194,1,Power Failure,2002-05-10 14:00:00,False,0,0,0,0,1,0,0,False
H33269,302.4,311.1,1578.0,32.3,196,0,No Failure,2002-05-10 15:00:00,False,0,0,1,0,0,0,0,False
M18716,302.4,311.2,1330.0,58.6,201,0,No Failure,2002-05-10 16:00:00,False,0,0,1,0,0,0,0,False
H33271,302.4,311.2,1506.0,40.8,204,0,No Failure,2002-05-10 17:00:00,False,0,0,1,0,0,0,0,False
L51038,302.5,311.4,1559.0,37.6,209,0,No Failure,2002-05-10 18:00:00,False,0,0,1,0,0,0,0,False
L51039,302.6,311.5,1599.0,37.0,211,0,No Failure,2002-05-10 19:00:00,False,0,0,1,0,0,0,0,False
L51040,302.6,311.5,1427.0,38.9,213,0,No Failure,2002-05-10 20:00:00,False,0,0,1,0,0,0,0,False
M18721,302.5,311.5,1481.0,41.1,215,0,No Failure,2002-05-10 21:00:00,False,0,0,1,0,0,0,0,False
H33276,302.5,311.5,1496.0,43.8,218,0,No Failure,2002-05-10 22:00:00,False,0,0,1,0,0,0,0,False
L51043,302.5,311.4,1674.0,27.0,223,0,No Failure,2002-05-10 23:00:00,False,0,0,1,0,0,0,0,False
M18724,302.5,311.4,1629.0,31.7,225,0,No Failure,2002-05-11 00:00:00,False,0,0,1,0,0,0,0,False
H33279,302.6,311.5,1629.0,34.4,228,1,Tool Wear Failure,2002-05-11 01:00:00,False,0,0,0,0,0,0,1,False
L51046,302.6,311.6,1311.0,53.2,0,0,No Failure,2002-05-11 02:00:00,False,0,0,1,0,0,0,0,False
M18727,302.7,311.6,2709.0,9.7,2,1,Power Failure,2002-05-11 03:00:00,False,0,0,0,0,1,0,0,False
M18728,302.7,311.7,1759.0,29.9,5,0,No Failure,2002-05-11 04:00:00,False,0,0,1,0,0,0,0,False
L51049,302.7,311.7,1480.0,45.2,8,0,No Failure,2002-05-11 05:00:00,False,0,0,1,0,0,0,0,False
L51050,302.7,311.8,1461.0,46.1,10,0,No Failure,2002-05-11 06:00:00,False,0,0,1,0,0,0,0,False
M18731,302.7,311.8,1728.0,30.0,12,0,No Failure,2002-05-11 07:00:00,False,0,0,1,0,0,0,0,False
L51052,302.7,311.9,1389.0,46.5,15,0,No Failure,2002-05-11 08:00:00,False,0,0,1,0,0,0,0,False
L51053,302.6,311.8,1638.0,35.1,17,0,No Failure,2002-05-11 09:00:00,False,0,0,1,0,0,0,0,False
L51054,302.6,311.7,1254.0,54.1,19,0,No Failure,2002-05-11 10:00:00,False,0,0,1,0,0,0,0,False
L51055,302.6,311.8,1427.0,50.1,21,0,No Failure,2002-05-11 11:00:00,False,0,0,1,0,0,0,0,False
L51056,302.6,311.8,1627.0,31.8,23,0,No Failure,2002-05-11 12:00:00,False,0,0,1,0,0,0,0,False
H33291,302.6,311.7,1471.0,48.3,25,0,No Failure,2002-05-11 13:00:00,False,0,0,1,0,0,0,0,False
L51058,302.6,311.7,1773.0,27.1,30,0,No Failure,2002-05-11 14:00:00,False,0,0,1,0,0,0,0,False
M18739,302.6,311.7,1430.0,211.3,32,0,No Failure,2002-05-11 15:00:00,False,0,0,1,0,0,0,0,False
L51060,302.5,311.6,1595.0,29.5,35,0,No Failure,2002-05-11 16:00:00,False,0,0,1,0,0,0,0,False
L51061,302.5,311.5,1521.0,44.1,37,0,No Failure,2002-05-11 17:00:00,False,0,0,1,0,0,0,0,False
L51062,302.5,311.6,1419.0,43.7,39,0,No Failure,2002-05-11 18:00:00,False,0,0,1,0,0,0,0,False
M18743,302.4,311.4,1534.0,40.1,41,0,No Failure,2002-05-11 19:00:00,False,0,0,1,0,0,0,0,False
H33298,302.5,311.5,1626.0,36.0,44,0,No Failure,2002-05-11 20:00:00,False,0,0,1,0,0,0,0,False
L51065,302.5,311.5,1677.0,29.2,49,0,No Failure,2002-05-11 21:00:00,False,0,0,1,0,0,0,0,False
L51066,302.4,311.3,1392.0,50.5,51,0,No Failure,2002-05-11 22:00:00,False,0,0,1,0,0,0,0,False
L51067,286.4,311.2,1448.0,50.5,53,0,No Failure,2002-05-11 23:00:00,False,0,0,1,0,0,0,0,False
L51068,302.3,311.2,1903.0,22.9,55,0,No Failure,2002-05-12 00:00:00,False,0,0,1,0,0,0,0,False
L51069,302.4,311.2,1404.0,52.0,57,0,No Failure,2002-05-12 01:00:00,False,0,0,1,0,0,0,0,False
L51070,302.3,311.2,1386.0,53.5,59,0,No Failure,2002-05-12 02:00:00,False,0,0,1,0,0,0,0,False
L51071,302.2,311.1,1418.0,47.0,61,0,No Failure,2002-05-12 03:00:00,False,0,0,1,0,0,0,0,False
M18752,302.3,311.1,1338.0,53.3,63,0,No Failure,2002-05-12 04:00:00,False,0,0,1,0,0,0,0,False
L51073,302.3,311.2,1549.0,40.6,66,0,No Failure,2002-05-12 05:00:00,False,0,0,1,0,0,0,0,False
M18754,302.3,311.2,1432.0,42.7,68,0,No Failure,2002-05-12 06:00:00,False,0,0,1,0,0,0,0,False
M18755,302.3,311.2,1546.0,40.0,71,0,No Failure,2002-05-12 07:00:00,False,0,0,1,0,0,0,0,False
M18756,302.2,311.2,1627.0,33.2,74,0,No Failure,2002-05-12 08:00:00,False,0,0,1,0,0,0,0,False
M18757,286.2,311.1,1640.0,32.8,77,0,No Failure,2002-05-12 09:00:00,False,0,0,1,0,0,0,0,False
M18758,302.1,311.1,1423.0,36.8,80,0,No Failure,2002-05-12 10:00:00,False,0,0,1,0,0,0,0,False
M18759,302.1,311.0,1711.0,28.7,83,0,No Failure,2002-05-12 11:00:00,False,0,0,1,0,0,0,0,False
M18760,302.1,311.1,1450.0,51.6,86,0,No Failure,2002-05-12 12:00:00,False,0,0,1,0,0,0,0,False
H33315,302.2,311.1,1553.0,34.1,89,0,No Failure,2002-05-12 13:00:00,False,0,0,1,0,0,0,0,False
L51082,302.2,311.1,1630.0,34.6,94,0,No Failure,2002-05-12 14:00:00,False,0,0,1,0,0,0,0,False
H33317,302.2,311.1,1476.0,39.6,96,0,No Failure,2012-05-12 15:00:00,True,0,0,1,0,0,0,0,False
H33318,302.2,311.1,1426.0,50.6,101,0,No Failure,2002-05-12 16:00:00,False,0,0,1,0,0,0,0,False
M18765,302.2,311.2,1561.0,34.9,106,0,No Failure,2002-05-12 17:00:00,False,0,0,1,0,0,0,0,False
L51086,302.3,311.2,1297.0,62.5,109,0,No Failure,2002-05-12 18:00:00,False,0,0,1,0,0,0,0,False
M18767,302.3,311.2,1842.0,23.9,111,0,No Failure,2002-05-12 19:00:00,False,0,0,1,0,0,0,0,False
L51088,302.3,311.2,1633.0,36.4,114,0,No Failure,2002-05-12 20:00:00,False,0,0,1,0,0,0,0,False
H33323,302.3,311.3,1744.0,30.3,116,0,No Failure,2002-05-12 21:00:00,False,0,0,1,0,0,0,0,False
L51090,302.4,311.4,1831.0,26.9,121,0,No Failure,2002-05-12 22:00:00,False,0,0,1,0,0,0,0,False
M18771,286.3,311.3,1339.0,50.8,123,0,No Failure,2002-05-12 23:00:00,False,0,0,1,0,0,0,0,False
L51092,302.4,311.4,1475.0,40.4,126,0,No Failure,2002-05-13 00:00:00,False,0,0,1,0,0,0,0,False
M18773,302.4,311.4,1675.0,29.6,128,0,No Failure,2002-05-13 01:00:00,False,0,0,1,0,0,0,0,False
L51094,302.5,311.5,1493.0,35.1,131,0,No Failure,2002-05-13 02:00:00,False,0,0,1,0,0,0,0,False
L51095,302.5,311.5,1700.0,109.3,133,0,No Failure,2002-05-13 03:00:00,False,0,0,1,0,0,0,0,False
L51096,302.6,311.6,1453.0,37.0,135,0,No Failure,2002-05-13 04:00:00,False,0,0,1,0,0,0,0,False
L51097,302.6,311.7,1542.0,34.1,137,0,No Failure,2002-05-13 05:00:00,False,0,0,1,0,0,0,0,False
M18778,302.5,311.5,1358.0,52.7,139,0,No Failure,2002-05-13 06:00:00,False,0,0,1,0,0,0,0,False
H33333,302.5,311.5,1655.0,112.1,142,0,No Failure,2002-05-13 07:00:00,False,0,0,1,0,0,0,0,False
L51100,302.6,311.5,1885.0,27.5,147,0,No Failure,2002-05-13 08:00:00,False,0,0,1,0,0,0,0,False
L51101,302.7,311.5,1494.0,41.4,149,0,No Failure,2002-05-13 09:00:00,False,0,0,1,0,0,0,0,False
M18782,302.6,311.4,1757.0,29.5,151,0,No Failure,2002-05-13 10:00:00,False,0,0,1,0,0,0,0,False
M18783,302.6,311.4,1718.0,31.2,154,0,No Failure,2002-05-13 11:00:00,False,0,0,1,0,0,0,0,False
M18784,302.5,311.4,1636.0,35.0,157,0,No Failure,2002-05-13 12:00:00,False,0,0,1,0,0,0,0,False
L51105,286.6,311.6,1638.0,29.6,160,0,No Failure,2002-05-13 13:00:00,False,0,0,1,0,0,0,0,False
L51106,286.6,311.5,1609.0,36.0,162,0,No Failure,2002-05-13 14:00:00,False,0,0,1,0,0,0,0,False
H33341,302.7,311.5,1556.0,35.0,164,0,No Failure,2002-05-13 15:00:00,False,0,0,1,0,0,0,0,False
L51108,302.6,311.5,1442.0,59.8,169,1,Power Failure,2002-05-13 16:00:00,False,0,0,0,0,1,0,0,False
M18789,302.7,311.6,1501.0,38.8,171,0,No Failure,2002-05-13 17:00:00,False,0,0,1,0,0,0,0,False
M18790,302.6,311.6,,19.2,174,0,No Failure,2002-05-13 18:00:00,False,0,0,1,0,0,0,0,True
M18791,302.7,311.7,1784.0,25.1,177,0,No Failure,2002-05-13 19:00:00,False,0,0,1,0,0,0,0,False
L51112,302.6,311.6,1953.0,22.4,180,0,No Failure,2002-05-13 20:00:00,False,0,0,1,0,0,0,0,False
L51113,302.6,311.6,1576.0,114.5,182,0,No Failure,2002-05-13 21:00:00,False,0,0,1,0,0,0,0,False
M18794,302.6,311.6,,39.0,184,0,No Failure,2002-05-13 22:00:00,False,0,0,1,0,0,0,0,True
M18795,302.6,311.6,1227.0,68.2,187,1,Overstrain Failure,2002-05-13 23:00:00,False,0,0,0,1,0,0,0,False
L51116,302.5,311.5,1985.0,18.8,190,0,No Failure,2012-05-14 00:00:00,True,0,0,1,0,0,0,0,False
L51117,302.5,311.5,1802.0,26.4,192,0,No Failure,2002-05-14 01:00:00,False,0,0,1,0,0,0,0,False
L51118,302.5,311.5,1603.0,32.4,194,0,No Failure,2002-05-14 02:00:00,False,0,0,1,0,0,0,0,False
L51119,302.5,311.6,1400.0,54.0,196,0,No Failure,2002-05-14 03:00:00,False,0,0,1,0,0,0,0,False
L51120,302.3,311.5,1395.0,54.2,198,0,No Failure,2002-05-14 04:00:00,False,0,0,1,0,0,0,0,False
L51121,302.2,311.4,1987.0,19.9,200,0,Error,2002-05-14 05:00:00,False,1,0,0,0,0,0,0,False
M18802,302.2,311.4,1398.0,47.2,202,0,No Failure,2002-05-14 06:00:00,False,0,0,1,0,0,0,0,False
L51123,302.3,311.4,1333.0,66.7,205,1,Power Failure,2002-05-14 07:00:00,False,0,0,0,0,1,0,0,False
L51124,302.2,311.2,,49.4,207,0,No Failure,2012-05-14 08:00:00,True,0,0,1,0,0,0,0,True
L51125,302.2,311.3,1570.0,36.1,0,0,No Failure,2002-05-14 09:00:00,False,0,0,1,0,0,0,0,False
M18806,302.2,311.3,1658.0,31.0,2,0,No Failure,2002-05-14 10:00:00,False,0,0,1,0,0,0,0,False
H33361,302.2,311.3,1749.0,29.2,5,0,No Failure,2002-05-14 11:00:00,False,0,0,1,0,0,0,0,False
M18808,302.2,311.3,1510.0,37.1,10,0,No Failure,2002-05-14 12:00:00,False,0,0,1,0,0,0,0,False
L51129,302.3,311.5,1384.0,130.6,13,0,No Failure,2002-05-14 13:00:00,False,0,0,1,0,0,0,0,False
L51130,302.3,311.4,1570.0,37.2,15,0,No Failure,2002-05-14 14:00:00,False,0,0,1,0,0,0,0,False
M18811,302.3,311.4,1571.0,32.7,17,0,No Failure,2002-05-14 15:00:00,False,0,0,1,0,0,0,0,False
L51132,302.3,311.4,1476.0,37.3,20,0,No Failure,2002-05-14 16:00:00,False,0,0,1,0,0,0,0,False
M18813,302.3,311.4,1484.0,39.5,22,0,No Failure,2002-05-14 17:00:00,False,0,0,1,0,0,0,0,False
M18814,302.3,311.4,1909.0,23.2,25,0,No Failure,2002-05-14 18:00:00,False,0,0,1,0,0,0,0,False
L51135,302.3,311.5,1448.0,49.6,28,0,No Failure,2002-05-14 19:00:00,False,0,0,1,0,0,0,0,False
M18816,302.3,311.4,1500.0,40.2,30,0,No Failure,2002-05-14 20:00:00,False,0,0,1,0,0,0,0,False
L51137,302.2,311.4,1510.0,44.9,33,0,No Failure,2002-05-14 21:00:00,False,0,0,1,0,0,0,0,False
L51138,302.2,311.3,1378.0,55.5,35,0,No Failure,2002-05-14 22:00:00,False,0,0,1,0,0,0,0,False
M18819,302.2,311.4,1538.0,37.4,37,0,No Failure,2002-05-14 23:00:00,False,0,0,1,0,0,0,0,False
L51140,302.2,311.4,1390.0,48.1,40,0,Error,2002-05-15 00:00:00,False,1,0,0,0,0,0,0,False
M18821,302.2,311.4,1642.0,32.1,42,0,No Failure,2002-05-15 01:00:00,False,0,0,1,0,0,0,0,False
L51142,302.4,311.5,1785.0,24.8,45,0,No Failure,2002-05-15 02:00:00,False,0,0,1,0,0,0,0,False
H33377,302.3,311.5,1526.0,38.2,47,0,No Failure,2002-05-15 03:00:00,False,0,0,1,0,0,0,0,False
M18824,286.3,311.6,1668.0,33.2,52,0,No Failure,2002-05-15 04:00:00,False,0,0,1,0,0,0,0,False
L51145,302.3,311.5,1507.0,37.5,55,0,No Failure,2002-05-15 05:00:00,False,0,0,1,0,0,0,0,False
L51146,302.3,311.5,1530.0,37.8,57,0,No Failure,2002-05-15 06:00:00,False,0,0,1,0,0,0,0,False
M18827,302.3,311.4,1479.0,45.6,59,0,No Failure,2002-05-15 07:00:00,False,0,0,1,0,0,0,0,False
M18828,302.3,311.4,1418.0,41.3,62,0,No Failure,2002-05-15 08:00:00,False,0,0,1,0,0,0,0,False
L51149,302.3,311.4,1504.0,38.7,65,0,No Failure,2002-05-15 09:00:00,False,0,0,1,0,0,0,0,False
M18830,302.3,311.4,1345.0,47.6,67,0,No Failure,2002-05-15 10:00:00,False,0,0,1,0,0,0,0,False
H33385,302.2,311.4,1625.0,35.4,70,0,No Failure,2002-05-15 11:00:00,False,0,0,1,0,0,0,0,False
L51152,286.3,311.4,1511.0,34.7,75,0,No Failure,2002-05-15 12:00:00,False,0,0,1,0,0,0,0,False
L51153,302.3,311.4,1535.0,41.8,77,0,No Failure,2002-05-15 13:00:00,False,0,0,1,0,0,0,0,False
L51154,302.4,311.5,1505.0,37.9,79,0,No Failure,2002-05-15 14:00:00,False,0,0,1,0,0,0,0,False
H33389,302.4,311.5,1540.0,43.7,81,0,No Failure,2002-05-15 15:00:00,False,0,0,1,0,0,0,0,False
H33390,302.3,311.4,1372.0,46.0,86,0,No Failure,2002-05-15 16:00:00,False,0,0,1,0,0,0,0,False
M18837,302.2,311.3,1510.0,36.6,91,0,No Failure,2002-05-15 17:00:00,False,0,0,1,0,0,0,0,False
L51158,302.2,311.3,1382.0,46.4,94,0,No Failure,2002-05-15 18:00:00,False,0,0,1,0,0,0,0,False
L51159,302.3,311.3,1439.0,41.8,96,0,No Failure,2002-05-15 19:00:00,False,0,0,1,0,0,0,0,False
M18840,302.2,311.3,1375.0,47.0,98,0,No Failure,2002-05-15 20:00:00,False,0,0,1,0,0,0,0,False
M18841,302.2,311.3,1931.0,21.9,101,0,No Failure,2002-05-15 21:00:00,False,0,0,1,0,0,0,0,False
L51162,302.2,311.3,1475.0,48.6,104,0,No Failure,2002-05-15 22:00:00,False,0,0,1,0,0,0,0,False
L51163,302.2,311.3,1389.0,46.9,106,0,No Failure,2002-05-15 23:00:00,False,0,0,1,0,0,0,0,False
L51164,302.3,311.3,1652.0,32.8,108,0,No Failure,2002-05-16 00:00:00,False,0,0,1,0,0,0,0,False
L51165,302.3,311.2,1386.0,50.3,110,0,No Failure,2002-05-16 01:00:00,False,0,0,1,0,0,0,0,False
M18846,302.2,311.3,1577.0,29.8,112,0,No Failure,2002-05-16 02:00:00,False,0,0,1,0,0,0,0,False
M18847,302.3,311.3,1444.0,43.1,115,0,No Failure,2002-05-16 03:00:00,False,0,0,1,0,0,0,0,False
L51168,302.2,311.3,1554.0,40.2,118,0,No Failure,2002-05-16 04:00:00,False,0,0,1,0,0,0,0,False
L51169,302.2,311.3,1602.0,32.8,120,0,No Failure,2002-05-16 05:00:00,False,0,0,1,0,0,0,0,False
H33404,302.2,311.2,1692.0,28.2,122,0,No Failure,2002-05-16 06:00:00,False,0,0,1,0,0,0,0,False
L51171,302.3,311.3,1682.0,34.4,127,0,No Failure,2002-05-16 07:00:00,False,0,0,1,0,0,0,0,False
L51172,302.3,311.3,1614.0,34.1,129,0,No Failure,2002-05-16 08:00:00,False,0,0,1,0,0,0,0,False
L51173,302.3,311.3,1324.0,47.8,131,0,No Failure,2002-05-16 09:00:00,False,0,0,1,0,0,0,0,False
L51174,302.3,311.4,1434.0,40.3,133,0,No Failure,2002-05-16 10:00:00,False,0,0,1,0,0,0,0,False
L51175,302.3,311.3,1621.0,31.6,135,0,No Failure,2002-05-16 11:00:00,False,0,0,1,0,0,0,0,False
M18856,302.3,311.3,1625.0,33.1,137,0,No Failure,2002-05-16 12:00:00,False,0,0,1,0,0,0,0,False
L51177,302.2,311.1,,53.7,140,0,No Failure,2002-05-16 13:00:00,False,0,0,1,0,0,0,0,True
L51178,302.1,311.0,1586.0,35.1,142,0,No Failure,2002-05-16 14:00:00,False,0,0,1,0,0,0,0,False
L51179,302.0,311.0,1420.0,45.9,144,0,No Failure,2002-05-16 15:00:00,False,0,0,1,0,0,0,0,False
L51180,302.1,311.2,1422.0,50.3,146,0,No Failure,2002-05-16 16:00:00,False,0,0,1,0,0,0,0,False
H33415,302.1,311.2,1598.0,37.9,148,0,No Failure,2002-05-16 17:00:00,False,0,0,1,0,0,0,0,False
L51182,302.1,311.2,1454.0,59.2,153,1,Power Failure,2002-05-16 18:00:00,False,0,0,0,0,1,0,0,False
L51183,302.1,311.2,1519.0,39.3,155,0,No Failure,2002-05-16 19:00:00,False,0,0,1,0,0,0,0,False
L51184,302.0,311.1,1373.0,55.7,157,0,No Failure,2002-05-16 20:00:00,False,0,0,1,0,0,0,0,False
M18865,286.0,311.1,1406.0,48.8,159,0,No Failure,2002-05-16 21:00:00,False,0,0,1,0,0,0,0,False
L51186,302.1,311.2,1492.0,45.0,162,0,No Failure,2002-05-16 22:00:00,False,0,0,1,0,0,0,0,False
L51187,302.1,311.2,1369.0,50.8,164,0,No Failure,2002-05-16 23:00:00,False,0,0,1,0,0,0,0,False
